branch_id	region_id	product_id	stock_count	reserved_count	blocked_count	available_count	last_input_date	last_output_date	real_price	sale_price	list_price
1	6	364	0	0	0	0	29/10/2009 00:00:00	27/10/2011 00:00:00	1,0986		0
1	6	364	0	0	0	0	29/10/2009 00:00:00	27/10/2011 00:00:00	1,0986		4,55
1	6	365	0	0	0	0	10/09/2009 00:00:00		10		0
1	6	365	0	0	0	0	10/09/2009 00:00:00		10		55,99
1	6	367	0	0	0	0	26/06/2020 00:00:00	27/10/2020 00:00:00	81,947879	93,13	323,11
1	6	368	6	0	0	6	03/02/2021 00:00:00	14/01/2021 00:00:00	26,986496	27,36	0
1	6	369	0	0	0	0	10/09/2009 00:00:00		24,91		0
1	6	369	0	0	0	0	10/09/2009 00:00:00		24,91		112,46
1	6	373	38	0	4	34	01/06/2011 00:00:00	14/03/2011 00:00:00	2,270889	2,273	0
1	6	375	1	0	0	1	02/10/2009 00:00:00		600		0
1	6	403	2	0	0	2	21/02/2019 00:00:00	24/07/2020 00:00:00	41,154625	42,24	136,1
1	6	419	10	0	0	10	18/10/2019 00:00:00	22/12/2020 00:00:00	46,004707	39,57	0
1	6	422	1	0	0	1	26/07/2019 00:00:00	28/01/2021 00:00:00	42,743304	45,47	95,27
1	6	429	0	0	0	0	27/09/2011 00:00:00	14/11/2011 00:00:00	17,256274	17,283333	0
1	6	436	0	0	0	0	11/08/2014 00:00:00	21/09/2015 00:00:00	2,361173	2,3029	8,85
1	6	443	0	0	0	0	02/07/2019 00:00:00	26/08/2019 00:00:00	60,9997	64,89	0
1	6	444	5	0	0	5	15/10/2020 00:00:00	13/01/2021 00:00:00	168,808627	176,25	0
1	6	446	0	0	0	0	22/08/2011 00:00:00	07/06/2011 00:00:00	25,715521	25,9	102,8
1	6	449	38	0	36	2	23/02/2021 00:00:00	18/02/2021 00:00:00	15,809333	29,13	0
1	6	463	0	0	0	0	15/08/2019 00:00:00	28/10/2019 00:00:00	16,535365	17,59	0
1	6	474	0	0	0	0			0,0001		6,46
1	6	477	0	0	0	0	28/10/2019 00:00:00	20/12/2019 00:00:00	13,039461	15,575	0
1	6	478	0	0	0	0	17/08/2011 00:00:00	19/07/2012 00:00:00	60,764918	61,95	0
1	6	481	143	0	2	141	17/08/2010 00:00:00		17,483748	17,5	35,74
1	6	482	37	0	10	27	22/09/2014 00:00:00		70,800322	73,48	0
1	6	484	3	0	0	3	08/01/2010 00:00:00		10961,333333	290	0
1	6	489	1	0	0	1	05/02/2010 00:00:00		444,67	444,67	0
1	6	502	0	0	0	0	22/02/2011 00:00:00	10/01/2012 00:00:00	62,686836	60,36	0
1	6	519	8	0	0	8	17/07/2010 00:00:00	14/11/2011 00:00:00	4,487729	4,83	0
1	6	532	3	0	0	3	27/08/2010 00:00:00		45	45	99,24
1	6	534	1	0	0	1	04/01/2012 00:00:00		179,75	185	0
1	6	535	123	122	1	0	15/07/2020 00:00:00	29/10/2020 00:00:00	11,908657	18,905	62,02
1	6	542	0	0	0	0	11/07/2019 00:00:00	04/03/2020 00:00:00	6,70943	6,79	22,26
1	6	545	0	0	0	0	23/06/2017 00:00:00	10/01/2012 00:00:00	2,6894	2,8	0
1	6	556	45	0	7	38	03/02/2021 00:00:00	11/02/2021 00:00:00	15,012212	14,26	0
1	6	556	45	0	7	38	03/02/2021 00:00:00	11/02/2021 00:00:00	15,012212	14,26	53,41
1	6	579	8	0	0	8	15/10/2020 00:00:00	18/12/2020 00:00:00	81,303991	83,1	295,19
1	6	581	10	0	0	10	15/10/2020 00:00:00	27/11/2020 00:00:00	51,248217	52,78	187,49
1	6	583	8	0	0	8	29/07/2019 00:00:00	28/01/2021 00:00:00	12,87209	14,4717	47,63
1	6	584	0	0	0	0	29/10/2019 00:00:00	30/09/2020 00:00:00	25,842907	26,28	123,14
1	6	585	0	0	0	0	22/01/2011 00:00:00	10/01/2012 00:00:00	12,069521	12,12	45,83
1	6	588	20	0	0	20	02/12/2011 00:00:00	24/11/2020 00:00:00	4,5	7,5	35,75
1	6	590	0	0	0	0	09/05/2011 00:00:00	10/01/2012 00:00:00	3,276477	3,13	0
1	6	593	3	0	2	1	27/06/2017 00:00:00	22/01/2021 00:00:00	19,613167	21,685	85,68
1	6	604	0	0	0	0	13/08/2012 00:00:00	08/11/2016 00:00:00	0,024366	0,0262	0
1	6	604	0	0	0	0	13/08/2012 00:00:00	08/11/2016 00:00:00	0,024366	0,0262	4,8
1	6	614	1	1	0	0	18/03/2020 00:00:00	16/12/2020 00:00:00	7,213236	8,68	35,9
1	6	615	0	0	0	0	07/08/2020 00:00:00	19/08/2020 00:00:00	17,3847	20,04	35,9
1	6	620	0	0	0	0	28/11/2014 00:00:00	28/11/2014 00:00:00	12,707415	13,23	48,95
1	6	621	0	0	0	0	16/09/2011 00:00:00	10/01/2012 00:00:00	13,226425	13,25	45,98
1	6	625	0	0	0	0	25/02/2011 00:00:00	25/02/2011 00:00:00	759,599633	784,46	0
1	6	625	0	0	0	0	25/02/2011 00:00:00	25/02/2011 00:00:00	759,599633	784,46	2884,26
1	6	627	0	0	0	0	25/02/2011 00:00:00	10/01/2012 00:00:00	22,203324	22,93	0
1	6	632	0	0	0	0	09/05/2011 00:00:00	25/02/2011 00:00:00	11,782484	11,85	44,74
1	6	641	0	0	0	0	25/02/2011 00:00:00	10/01/2012 00:00:00	16,984139	17,54	0
1	6	642	0	0	0	0	25/02/2011 00:00:00	10/01/2012 00:00:00	16,984139	17,54	64,49
1	6	642	0	0	0	0	25/02/2011 00:00:00	10/01/2012 00:00:00	16,984139	17,54	70,29
1	6	643	0	0	0	0	25/02/2011 00:00:00	10/01/2012 00:00:00	16,984139	17,54	0
1	6	646	0	0	0	0	25/02/2011 00:00:00	10/01/2012 00:00:00	13,38203	13,82	55,38
1	6	647	0	0	0	0	28/11/2014 00:00:00	28/11/2014 00:00:00	9,9892	10,4	0
1	6	660	0	0	0	0	18/08/2020 00:00:00	18/09/2020 00:00:00	33,388953	36,9	0
1	6	661	0	0	0	0	21/03/2011 00:00:00	10/01/2012 00:00:00	28,298555	29,62	0
1	6	664	0	0	0	0	21/03/2011 00:00:00	10/01/2012 00:00:00	18,276548	19,13	0
1	6	665	0	0	0	0	30/01/2017 00:00:00	31/01/2017 00:00:00	15,1869	16,33	57,86
1	6	666	6	0	0	6	31/12/2020 00:00:00	09/02/2021 00:00:00	9,929151	11,456667	26,81
1	6	668	0	0	0	0	21/03/2011 00:00:00		8,397849	8,79	31,89
1	6	669	0	0	0	0	25/10/2017 00:00:00	19/02/2018 00:00:00	10,4346	11,22	34,03
1	6	679	12	12	0	0	03/08/2020 00:00:00	06/08/2020 00:00:00	35,337169	39,3	0
1	6	684	520	9	10	501	11/12/2020 00:00:00	23/02/2021 00:00:00	29,329724	29	89
1	6	688	3	0	3	0	15/07/2020 00:00:00	18/12/2020 00:00:00	52,695067	59,7	0
1	6	691	0	0	0	0	15/04/2011 00:00:00		68,557151	68,95	283,75
1	6	692	0	0	0	0	15/04/2011 00:00:00		68,557151	68,95	283,75
1	6	698	1	0	0	1	22/08/2011 00:00:00	10/01/2012 00:00:00	4,5	9,21	0
1	6	702	0	0	0	0	26/04/2011 00:00:00		280,00035	266,667	0
1	6	703	3	0	0	3	28/04/2011 00:00:00		1469	1469	0
1	6	714	0	0	0	0	28/01/2016 00:00:00	01/02/2016 00:00:00	20,61233	21,46	0
1	6	716	0	0	0	0	11/05/2011 00:00:00	10/01/2012 00:00:00	28,395131	26,8	107,32
1	6	716	0	0	0	0	11/05/2011 00:00:00	10/01/2012 00:00:00	28,395131	26,8	116,98
1	6	722	0	0	0	0	22/09/2011 00:00:00	10/01/2012 00:00:00	51,625276	46	193,42
1	6	728	0	0	0	0	11/05/2011 00:00:00	10/01/2012 00:00:00	27,812395	26,25	0
1	6	735	111	0	17	94	27/03/2020 00:00:00		52,779894	74,51	0
1	6	748	0	0	0	0	03/06/2011 00:00:00	10/01/2012 00:00:00	11,013572	10,87	41,63
1	6	752	0	0	0	0	03/06/2011 00:00:00	22/11/2011 00:00:00	17,954048	17,72	0
1	6	752	0	0	0	0	03/06/2011 00:00:00	22/11/2011 00:00:00	17,954048	17,72	73,97
1	6	754	0	0	0	0	22/05/2018 00:00:00	14/01/2019 00:00:00	40,10735	40,58	0
1	6	764	0	0	0	0	07/10/2020 00:00:00	04/01/2021 00:00:00	18,022782	21,83317	47,63
1	6	781	7	0	0	7	10/10/2011 00:00:00		1,278811	1,28	0
1	6	792	0	0	0	0	22/08/2011 00:00:00		27,234525	27,43	0
1	6	801	0	0	0	0	14/10/2016 00:00:00	14/10/2016 00:00:00	66,226447	55,24	0
1	6	802	0	0	0	0	14/10/2016 00:00:00	14/10/2016 00:00:00	66,226447	55,24	252,19
1	6	804	0	0	0	0	22/08/2011 00:00:00	30/12/2011 00:00:00	86,211531	86,83	356,81
1	6	806	0	0	0	0	18/07/2013 00:00:00	16/01/2014 00:00:00	27,532814	28,79	118,75
1	6	811	4	0	0	4	09/10/2018 00:00:00	28/01/2021 00:00:00	14,117432	14,26	47,63
1	6	815	0	0	0	0	30/12/1899 00:00:00		435	435	0
1	6	816	0	0	0	0	30/12/1899 00:00:00		11,25	11,25	0
1	6	960	18	0	0	18	11/06/2019 00:00:00	19/11/2019 00:00:00	4,304244	4,7075	15,16
1	6	983	0	0	0	0	26/12/2011 00:00:00		3850	3850	0
1	6	1260	0	0	0	0	10/09/2012 00:00:00		65,237946	58	265,54
1	6	1420	1	0	0	1	27/08/2012 00:00:00		191,990909	188,8	0
1	6	1426	0	0	0	0	06/07/2020 00:00:00	23/12/2020 00:00:00	43,117212	46,45	74,9
1	6	1426	0	0	0	0	06/07/2020 00:00:00	23/12/2020 00:00:00	43,117212	46,45	79
1	6	1458	0	0	0	0	31/07/2019 00:00:00	10/10/2019 00:00:00	14,814394	15,76	0
1	6	1462	120	0	120	0	23/02/2021 00:00:00	02/02/2021 00:00:00	2,613121	2,458	8,5
1	6	1499	0	0	0	0	05/12/2012 00:00:00	11/01/2013 00:00:00	122,0618	113,02	0
1	6	1543	274	2	0	272	03/12/2020 00:00:00	18/02/2021 00:00:00	51,8765	59,8	66,9
1	6	1544	102	0	17	85	03/02/2021 00:00:00	19/02/2021 00:00:00	43,537554	55,68	55
1	6	1571	3	0	0	3	28/01/2013 00:00:00		124,8	124,8	0
1	6	1572	1	0	0	1	28/01/2013 00:00:00		60	60	0
1	6	1573	2	0	0	2	28/01/2013 00:00:00		88	88	0
1	6	1653	0	0	0	0	08/04/2013 00:00:00	08/04/2013 00:00:00	27,468682	37	128,16
1	6	1662	0	0	0	0	12/04/2013 00:00:00	18/03/2015 00:00:00	18,964544	19,0275	109,2
1	6	1708	5	0	5	0	01/04/2020 00:00:00	25/09/2020 00:00:00	61,625125	71,64	226,18
1	6	1721	0	0	0	0	19/08/2014 00:00:00		4,272344	2,94	0
1	6	1723	0	0	0	0	19/08/2014 00:00:00		1,135839	1,0933	0
1	6	1728	0	0	0	0	19/08/2014 00:00:00		1,05441	1,015	0
1	6	1759	0	0	0	0	31/10/2014 00:00:00		0,936393	0,9367	0
1	6	1761	0	0	0	0	31/10/2014 00:00:00		0,998007	0,9983	0
1	6	1834	124	0	0	124	31/05/2013 00:00:00		10,506825	10,0065	0
1	6	1838	1	0	0	1	01/06/2013 00:00:00		324	324	0
1	6	1853	22	0	4	18	29/12/2020 00:00:00	23/02/2021 00:00:00	77,873643	82,08	0
1	6	1853	22	0	4	18	29/12/2020 00:00:00	23/02/2021 00:00:00	77,873643	82,08	176,94
1	6	1879	0	0	0	0	31/07/2019 00:00:00	20/09/2019 00:00:00	131,209979	139,8	0
1	6	1880	6	0	0	6	18/06/2020 00:00:00	07/08/2020 00:00:00	21,499767	24,3512	0
1	6	1909	0	0	0	0			0		347,07
1	6	1910	0	0	0	0	02/07/2019 00:00:00	16/10/2019 00:00:00	51,521991	49,72	0
1	6	1910	0	0	0	0	02/07/2019 00:00:00	16/10/2019 00:00:00	51,521991	49,72	163,32
1	6	1939	2	0	0	2	23/07/2013 00:00:00		156,4	170	0
1	6	1964	1	0	0	1	29/08/2013 00:00:00		1350	1350	0
1	6	1978	0	0	0	0	06/11/2013 00:00:00	11/05/2015 00:00:00	12,71	13,666667	51,36
1	6	1979	0	0	0	0	07/08/2020 00:00:00	12/08/2020 00:00:00	91,2875	109	0
1	6	1982	0	0	0	0	27/06/2014 00:00:00	22/07/2014 00:00:00	60,76	62	0
1	6	1985	1	0	0	1	05/12/2016 00:00:00	09/12/2016 00:00:00	60	95,82	430,22
1	6	2003	1	0	0	1	07/11/2013 00:00:00		151,842301	121,5	0
1	6	2007	1	0	0	1	07/11/2013 00:00:00		40,762961	34,1	0
1	6	2008	1	0	0	1	07/11/2013 00:00:00		24,792487	20,74	0
1	6	2014	4	0	0	4	07/11/2013 00:00:00		58,612378	46,9	0
1	6	2017	1	0	0	1	07/11/2013 00:00:00		100,215918	80,19	0
1	6	2043	0	0	0	0	18/06/2020 00:00:00	15/10/2020 00:00:00	13,003228	14,9	60,82
1	6	2116	0	0	0	0	01/04/2020 00:00:00	12/01/2021 00:00:00	35,666806	38,71	109,08
1	6	2117	0	0	0	0			0		0
1	6	2153	15	0	0	15	03/02/2021 00:00:00	22/02/2021 00:00:00	13,55629	11	36,75
1	6	2154	51	0	0	51	07/05/2015 00:00:00		17,304307	17,33	0
1	6	2170	3	0	1	2	14/10/2019 00:00:00	12/09/2019 00:00:00	24,930431	30	78,94
1	6	2171	3	0	0	3	21/11/2018 00:00:00	11/09/2020 00:00:00	4,255304	7	16,32
1	6	2174	0	0	0	0	21/05/2020 00:00:00	04/09/2020 00:00:00	9,809476	11	0
1	6	2174	0	0	0	0	21/05/2020 00:00:00	04/09/2020 00:00:00	9,809476	11	41,54
1	6	2189	0	0	0	0	15/05/2014 00:00:00		97,1571		0
1	6	2201	0	0	0	0	03/04/2020 00:00:00	23/04/2020 00:00:00	25,288441	25,5413	91,19
1	6	2201	0	0	0	0	03/04/2020 00:00:00	23/04/2020 00:00:00	25,288441	25,5413	99,4
1	6	2225	21	0	21	0	14/07/2014 00:00:00		7,133369	7,14	0
1	6	2253	1	0	1	0	25/04/2019 00:00:00		26500	26500	0
1	6	2262	75	0	3	72	29/08/2014 00:00:00		113	113	0
1	6	2268	6623	0	0	6623	21/09/2020 00:00:00		4,436731	4,7252	0
1	6	2312	0	0	0	0	11/12/2014 00:00:00		1,256944	1,1433	0
1	6	2332	0	0	0	0	11/12/2014 00:00:00		2,424783	1,56	0
1	6	2336	0	0	0	0	11/12/2014 00:00:00		1,202847	1,0933	0
1	6	2341	0	0	0	0	11/12/2014 00:00:00		1,132275	1,015	0
1	6	2349	2	0	0	2	31/12/2020 00:00:00	08/02/2021 00:00:00	51,103844	50,74	135,37
1	6	2362	0	0	0	0	11/12/2014 00:00:00		1,019151	0,8867	0
1	6	2376	0	0	0	0	12/12/2014 00:00:00		29,6763		0
1	6	2507	0	0	0	0			0		258,6
1	6	2533	28	0	0	28	03/02/2021 00:00:00	22/02/2021 00:00:00	19,302432	18,42	66,75
1	6	2563	120	0	0	120	07/05/2015 00:00:00		3,325209	3,3283	0
1	6	2566	0	0	0	0	29/04/2019 00:00:00	07/02/2020 00:00:00	372,430091	369,51	0
1	6	2570	0	0	0	0	29/06/2020 00:00:00	08/10/2020 00:00:00	26,767834	28,82	98,72
1	6	2572	13	3	10	0	15/07/2020 00:00:00	14/08/2020 00:00:00	41,552515	47,76	0
1	6	2572	13	3	10	0	15/07/2020 00:00:00	14/08/2020 00:00:00	41,552515	47,76	129,24
1	6	2577	0	0	0	0		05/09/2018 00:00:00	87,327926		0
1	6	2584	50	2	0	48	23/11/2020 00:00:00	04/01/2021 00:00:00	63,455877	72,45	183
1	6	2585	52	0	0	52	17/03/2020 00:00:00	16/11/2020 00:00:00	11,04239	12,6	28,71
1	6	2588	18	18	0	0	19/10/2020 00:00:00	09/02/2021 00:00:00	5,2362	6	0
1	6	2610	0	0	0	0			0		66,68
1	6	2613	2	0	0	2	16/10/2019 00:00:00	17/02/2021 00:00:00	15,154545	18,095	94,94
1	6	2662	0	0	0	0	25/01/2016 00:00:00	26/01/2016 00:00:00	10,5825	12,75	37,09
1	6	2665	0	0	0	0	16/10/2019 00:00:00	31/10/2019 00:00:00	11,704771	16,08	72,68
1	6	2698	0	0	0	0	05/08/2019 00:00:00	30/09/2019 00:00:00	10,867115	13,035	50,45
1	6	2704	0	0	0	0	05/08/2019 00:00:00	02/10/2019 00:00:00	13,878135	18,7725	0
1	6	2710	3	0	0	3	05/07/2019 00:00:00	16/07/2019 00:00:00	22,534868	30,4825	0
1	6	2717	0	0	0	0			0		0
1	6	2732	88	0	71	17	12/02/2021 00:00:00	22/02/2021 00:00:00	12,917891	16,4165	0
1	6	2732	88	0	71	17	12/02/2021 00:00:00	22/02/2021 00:00:00	12,917891	16,4165	34,77
1	6	2735	12	0	0	12	15/01/2021 00:00:00	28/01/2021 00:00:00	19,580227	18,42	66,75
1	6	2737	0	0	0	0		08/01/2020 00:00:00	11,331665		67
1	6	2738	105	0	0	105	03/02/2021 00:00:00	23/02/2021 00:00:00	0,961443	1,1	2,29
1	6	2741	0	0	0	0	28/11/2019 00:00:00	30/04/2020 00:00:00	3,16866	3,468	6,65
1	6	2742	0	0	0	0	28/11/2019 00:00:00	08/04/2020 00:00:00	4,54329	5,1429	17,54
1	6	2743	0	0	0	0	03/12/2018 00:00:00	06/06/2019 00:00:00	4,78558	5,7365	0
1	6	2758	13	0	0	13	11/10/2018 00:00:00	18/02/2019 00:00:00	3,626917	5,04	7,96
1	6	2761	12	0	0	12	23/10/2020 00:00:00	25/01/2021 00:00:00	7,299029	8,19	14,56
1	6	2766	1	1	0	0	15/01/2021 00:00:00	19/02/2021 00:00:00	16,524618	18,501	39,9
1	6	2767	0	0	0	0			0		36,61
1	6	2770	0	0	0	0	14/08/2019 00:00:00	15/08/2019 00:00:00	66,68676	87,55	0
1	6	2772	0	0	0	0	14/10/2016 00:00:00	14/10/2016 00:00:00	136,912368	132,49	0
1	6	2773	0	0	0	0	14/10/2016 00:00:00	14/10/2016 00:00:00	66,225123	55,24	231,37
1	6	2779	115	0	107	8	28/02/2020 00:00:00	15/09/2020 00:00:00	27,105606	27,9	58,24
1	6	2796	90	0	0	90	14/05/2018 00:00:00		57,601598	58,0667	0
1	6	2798	0	0	0	0	29/12/2020 00:00:00	14/01/2021 00:00:00	10,109841	12,1	26
1	6	2800	6	0	0	6	24/09/2019 00:00:00	10/03/2020 00:00:00	25,36662	26,37	75,26
1	6	2801	17	0	8	9	23/02/2021 00:00:00	17/02/2021 00:00:00	29,155887	33,085	86,11
1	6	2803	7	0	0	7	15/10/2020 00:00:00	27/09/2019 00:00:00	98,581757	103,51	347,07
1	6	2806	0	0	0	0	11/10/2018 00:00:00	19/02/2021 00:00:00	8	12,475	29,43
1	6	2807	12	0	6	6	27/07/2020 00:00:00	04/08/2020 00:00:00	13,79078	17,643333	0
1	6	2817	0	0	0	0	30/01/2017 00:00:00	31/01/2017 00:00:00	14,1918	15,26	57,86
1	6	2819	29	0	18	11	27/03/2017 00:00:00	07/04/2017 00:00:00	111,235556	100	0
1	6	2828	0	0	0	0	22/05/2018 00:00:00	22/05/2018 00:00:00	24,41231	24,7	115,68
1	6	2828	0	0	0	0	22/05/2018 00:00:00	22/05/2018 00:00:00	24,41231	24,7	126,09
1	6	2830	0	0	0	0	20/02/2017 00:00:00	20/02/2017 00:00:00	8,257086	7,79	31,3
1	6	2850	17	0	0	17	25/03/2020 00:00:00	19/02/2021 00:00:00	82,98145	89,55	0
1	6	2850	17	0	0	17	25/03/2020 00:00:00	19/02/2021 00:00:00	82,98145	89,55	242,27
1	6	2851	0	0	0	0	23/06/2017 00:00:00		1373,950186	1399,99	4695,53
1	6	2853	0	0	0	0	23/06/2017 00:00:00		6,416959	6,9	13,6
1	6	2855	7	0	0	7	23/10/2020 00:00:00	23/02/2021 00:00:00	5,834204	6,55	0
1	6	2860	0	0	0	0	14/08/2020 00:00:00	24/11/2020 00:00:00	57,772867	60	100,23
1	6	2875	119	0	20	99	25/01/2021 00:00:00	02/02/2021 00:00:00	21,287772	22,6426	49,84
1	6	2876	0	0	0	0	02/05/2019 00:00:00		7,238093	7,1	0
1	6	2880	0	0	0	0	23/10/2019 00:00:00	22/05/2020 00:00:00	35,7745	35,9	27,46
1	6	2882	7	7	0	0	02/12/2019 00:00:00	04/02/2021 00:00:00	84,75142	87,55	219,52
1	6	2888	0	0	0	0			0		0
1	6	2894	0	0	0	0	30/04/2018 00:00:00		96,04	98	0
1	6	2896	2	0	0	2	20/12/2019 00:00:00	28/10/2020 00:00:00	9,664564	9,68	0
1	6	2896	2	0	0	2	20/12/2019 00:00:00	28/10/2020 00:00:00	9,664564	9,68	34,18
1	6	2906	4	0	4	0	22/05/2018 00:00:00		1,25	1,25	0
1	6	2908	1	0	1	0	22/05/2018 00:00:00		36	36	0
1	6	2915	0	0	0	0			0		246,11
1	6	2917	0	0	0	0	27/02/2020 00:00:00	02/03/2020 00:00:00	77,295706	87,55	225,85
1	6	2920	1	0	1	0	27/06/2018 00:00:00		350	350	0
1	6	2925	3	3	0	0	20/01/2020 00:00:00	11/03/2020 00:00:00	91,513183	87,55	0
1	6	2926	1	0	1	0	14/09/2020 00:00:00	05/10/2020 00:00:00	5,420158	6,3	0
